"Name","State","Notes","User","Tags","Created","Runtime","Sweep","C","classifier","degree_pol","descriptor","fisher","fisher_vector","kernel","level_pyramid","n_components","n_features","n_folds","n_words","scaler","step_size","algorithm","leaf_size","n_neighbors","p","AUC","accuracy","average_f1","average_precision","average_recall"
"clean-sweep-14","finished","-","bycarkos","","2023-12-30T11:02:29.000Z","69","hpxexu61","","knn","","dense_sift","false","","","2","19","1024","5","1024","true","52","brute","","23","2","0.9438181248949936","0.7081226367176476","0.7219604711438622","0.7328984180278736","0.7113513906058857"
"graceful-sweep-3","finished","-","bycarkos","","2023-12-30T10:29:38.000Z","57","hdqbdc5c","","knn","","dense_sift","false","","","1","126","1024","5","1024","false","71","brute","","1","2","0.8234945538687285","0.6911154692702749","0.6983864286007515","0.6977960191073869","0.6990212956283602"
"azure-sweep-11","finished","-","bycarkos","","2023-12-30T10:59:52.000Z","51","hpxexu61","","knn","","dense_sift","false","","","1","57","1024","5","1024","false","85","brute","","18","2","0.9478339768962996","0.7203453919521418","0.7286720277652312","0.7326527167501645","0.7247992971612186"
"wandering-sweep-5","finished","-","bycarkos","","2023-12-30T10:31:31.000Z","51","hdqbdc5c","","knn","","dense_sift","false","","","1","114","1024","5","1024","false","80","brute","","1","2","0.8225843122394846","0.689522546419098","0.6961411238030422","0.6944463956865048","0.6978633968032648"
"likely-sweep-10","finished","-","bycarkos","","2023-12-30T10:37:03.000Z","54","hdqbdc5c","","knn","","dense_sift","false","","","1","103","1024","5","1024","true","62","brute","","1","2","0.8402086541484929","0.7203651447598622","0.7274777759362854","0.7276666528175356","0.727313002846923"
"fanciful-sweep-1","finished","-","bycarkos","","2023-12-30T10:27:26.000Z","70","hdqbdc5c","","knn","","dense_sift","false","","","2","78","1024","5","1024","false","97","brute","","1","2","0.7985810227923212","0.6475167898865625","0.6540945049326831","0.6543316778592538","0.6538866328241915"
"usual-sweep-4","finished","-","bycarkos","","2023-12-30T10:30:37.000Z","50","hdqbdc5c","","knn","","dense_sift","false","","","1","68","1024","5","1024","false","80","brute","","1","2","0.818026654196867","0.6815466448445171","0.6885866461075146","0.6872524837982433","0.6899515905903829"
"wobbly-sweep-5","finished","-","bycarkos","","2023-12-30T10:53:47.000Z","70","hpxexu61","","knn","","dense_sift","false","","","2","30","1024","5","1024","false","53","brute","","22","2","0.9515924988987564","0.7352305434843953","0.7437012705168354","0.746555961152132","0.7408796631163777"
"earthy-sweep-6","finished","-","bycarkos","","2023-12-30T10:55:00.000Z","71","hpxexu61","","knn","","dense_sift","false","","","2","35","1024","5","1024","true","55","brute","","20","2","0.9464571262008276","0.7060034426322026","0.717604183592038","0.7246029890990033","0.7107560285443982"
"lively-sweep-7","finished","-","bycarkos","","2023-12-30T10:33:25.000Z","56","hdqbdc5c","","knn","","dense_sift","false","","","1","128","1024","5","1024","false","77","brute","","1","2","0.8116469004216619","0.6703820757379084","0.6793243385244501","0.6801446657786856","0.6785341646193029"
"lucky-sweep-15","finished","-","bycarkos","","2023-12-30T11:03:42.000Z","64","hpxexu61","","knn","","dense_sift","false","","","2","78","1024","5","1024","false","75","brute","","5","2","0.9177159978625063","0.7235425249731927","0.7343049933056782","0.7388307864960042","0.7298389979745895"
"clean-sweep-9","finished","-","bycarkos","","2023-12-30T10:58:18.000Z","39","hpxexu61","","knn","","dense_sift","false","","","1","88","1024","5","1024","false","93","brute","","22","2","0.9446454796079944","0.7224829279304701","0.7325709167438826","0.7404530453943721","0.7248726456222218"
"true-sweep-6","finished","-","bycarkos","","2023-12-30T10:32:27.000Z","51","hdqbdc5c","","knn","","dense_sift","false","","","1","118","1024","5","1024","true","73","brute","","1","2","0.8247079406287037","0.6932388961002314","0.7021280554319397","0.7045188618918492","0.6997706496144083"
"expert-sweep-4","finished","-","bycarkos","","2023-12-29T20:46:44.000Z","46","","","knn","","dense_sift","false","","","1","85","300","5","1024","false","99","auto","","20","2","0.7642093550766009","0.38222388396636375","0.3901113954015848","0.3978483143977514","0.3830371117366882"
"dark-sweep-13","finished","-","bycarkos","","2023-12-30T11:01:27.000Z","56","hpxexu61","","knn","","dense_sift","false","","","2","17","1024","5","1024","false","87","brute","","8","2","0.9249015710270816","0.6889990970145042","0.7001306222538142","0.7064578464628483","0.6939508864497782"
"rose-sweep-7","finished","-","bycarkos","","2023-12-30T10:56:13.000Z","64","hpxexu61","","knn","","dense_sift","false","","","2","25","1024","5","1024","true","78","brute","","25","2","0.947814105422682","0.7203651447598622","0.7316600111700656","0.7360295415522191","0.7273557540966754"
"genial-sweep-3","finished","-","bycarkos","","2023-12-29T20:45:36.000Z","65","","","knn","","dense_sift","false","","","1","365","300","5","1024","true","47","auto","","20","2","0.7024951986380283","0.3141938032620351","0.3131655861734857","0.31996227472325733","0.3068108349390883"
